ds,yhat
2024-07-16 14:00:00,38.19397194124046
2024-07-16 15:00:00,36.60167785624664
2024-07-16 16:00:00,34.94194969383133
2024-07-16 17:00:00,33.482193314600664
2024-07-16 18:00:00,32.31750527162554
2024-07-16 19:00:00,31.46256415979632
2024-07-16 20:00:00,30.914224216383154
2024-07-16 21:00:00,30.637205496758973
2024-07-16 22:00:00,30.53471887526831
2024-07-16 23:00:00,30.48325352118646
2024-07-17 00:00:00,30.42382704970316
2024-07-17 01:00:00,30.41590556638751
2024-07-17 02:00:00,30.580424360404066
2024-07-17 03:00:00,30.973392222633162
2024-07-17 04:00:00,31.519808815401444
2024-07-17 05:00:00,32.09401171701174
2024-07-17 06:00:00,32.685205981935916
2024-07-17 07:00:00,33.47972513824871
2024-07-17 08:00:00,34.74354959820954
2024-07-17 09:00:00,36.568350435174864
2024-07-17 10:00:00,38.688834835765306
2024-07-17 11:00:00,40.545756556911954
2024-07-17 12:00:00,41.57513172918363
2024-07-17 13:00:00,41.51777572887026
2024-07-17 14:00:00,40.52856679024292
2024-07-17 15:00:00,39.03090152864172
2024-07-17 16:00:00,37.45721453157451
2024-07-17 17:00:00,36.073460045822166
2024-07-17 18:00:00,34.97335175137368
2024-07-17 19:00:00,34.1702723250698
2024-07-17 20:00:00,33.6598843991313
2024-07-17 21:00:00,33.405837014536814
2024-07-17 22:00:00,33.31040561022866
2024-07-17 23:00:00,33.249293003970045
2024-07-18 00:00:00,33.1628913871956
2024-07-18 01:00:00,33.11021239576735
2024-07-18 02:00:00,33.21191587615115
2024-07-18 03:00:00,33.52392021167
2024-07-18 04:00:00,33.97132354823727
2024-07-18 05:00:00,34.42875248305732
2024-07-18 06:00:00,34.885891022337695
2024-07-18 07:00:00,35.52973872462353
2024-07-18 08:00:00,36.62712402614473
2024-07-18 09:00:00,38.270740751306555
2024-07-18 10:00:00,40.196484191410306
2024-07-18 11:00:00,41.846450185430996
2024-07-18 12:00:00,42.65813766919875
2024-07-18 13:00:00,42.373970564958555
2024-07-18 14:00:00,41.150544857053205
2024-07-18 15:00:00,39.41306621167866
2024-07-18 16:00:00,37.5958505093959
2024-07-18 17:00:00,35.96678553918032
2024-07-18 18:00:00,34.62155007906904
2024-07-18 19:00:00,33.575502312750785
2024-07-18 20:00:00,32.826269433783914
2024-07-18 21:00:00,32.33943279238607
2024-07-18 22:00:00,32.01914687739542
2024-07-18 23:00:00,31.742919839625163
2024-07-19 00:00:00,31.45285582139964
2024-07-19 01:00:00,31.209566388670265
2024-07-19 02:00:00,31.135181907319936
2024-07-19 03:00:00,31.286945934983287
2024-07-19 04:00:00,31.591122158046772
2024-07-19 05:00:00,31.923330606923646
2024-07-19 06:00:00,32.27406610400338
2024-07-19 07:00:00,32.830947985886894
2024-07-19 08:00:00,33.861227194879426
2024-07-19 09:00:00,35.457818817173134
2024-07-19 10:00:00,37.35663649543388
2024-07-19 11:00:00,38.99959216853898
2024-07-19 12:00:00,39.82380159430187
2024-07-19 13:00:00,39.57111148946297
2024-07-19 14:00:00,38.39735406704875
2024-07-19 15:00:00,36.72679423756245
2024-07-19 16:00:00,34.99264172465034
2024-07-19 17:00:00,33.46152620304073
2024-07-19 18:00:00,32.22773151995219
2024-07-19 19:00:00,31.305100764979677
2024-07-19 20:00:00,30.689643839073277
2024-07-19 21:00:00,30.345241658767236
2024-07-19 22:00:00,30.17428505992236
2024-07-19 23:00:00,30.052475864998385
2024-07-20 00:00:00,29.92009013305419
2024-07-20 01:00:00,29.835910637225425
2024-07-20 02:00:00,29.920259159096343
2024-07-20 03:00:00,30.22861142205224
2024-07-20 04:00:00,30.685523948369536
2024-07-20 05:00:00,31.164989337443988
2024-07-20 06:00:00,31.655972694258146
2024-07-20 07:00:00,32.344678038957575
2024-07-20 08:00:00,33.497070597683184
2024-07-20 09:00:00,35.204922876350984
2024-07-20 10:00:00,37.20316079089096
2024-07-20 11:00:00,38.93287317468351
2024-07-20 12:00:00,39.83052500993215
2024-07-20 13:00:00,39.637490138644715
2024-07-20 14:00:00,38.509309174855986
2024-07-20 15:00:00,36.87013785885066
2024-07-20 16:00:00,35.153258101825195
2024-07-20 17:00:00,33.625549857143845
2024-07-20 18:00:00,32.38171993235919
2024-07-20 19:00:00,31.436199587750295
2024-07-20 20:00:00,30.785742676637593
2024-07-20 21:00:00,30.395118593856104
2024-07-20 22:00:00,30.167738246883758
2024-07-20 23:00:00,29.980440685707276
2024-07-21 00:00:00,29.774740599621367
2024-07-21 01:00:00,29.61074393114719
2024-07-21 02:00:00,29.610162413607945
2024-07-21 03:00:00,29.829910082822604
2024-07-21 04:00:00,30.196011283144056
2024-07-21 05:00:00,30.58393690414016
2024-07-21 06:00:00,30.98412181833548
2024-07-21 07:00:00,31.5842125892727
2024-07-21 08:00:00,32.65157158521862
2024-07-21 09:00:00,34.27930562568482
2024-07-21 10:00:00,36.20359565071502
2024-07-21 11:00:00,37.86669093587765
2024-07-21 12:00:00,38.706108388622084
2024-07-21 13:00:00,38.4641528467551
2024-07-21 14:00:00,37.29716425337719
2024-07-21 15:00:00,35.62995707320314
2024-07-21 16:00:00,33.89632430241371
2024-07-21 17:00:00,32.36350428748509
2024-07-21 18:00:00,31.126406518884632
2024-07-21 19:00:00,30.199508271279967
2024-07-21 20:00:00,29.579453847570818
2024-07-21 21:00:00,29.23075066406485
2024-07-21 22:00:00,29.056400339667785
2024-07-21 23:00:00,28.932692347318373
2024-07-22 00:00:00,28.800460333077353
2024-07-22 01:00:00,28.71900822782841
2024-07-22 02:00:00,28.80913681201319
2024-07-22 03:00:00,29.12675361798936
2024-07-22 04:00:00,29.596795506745185
2024-07-22 05:00:00,30.09358045879212
2024-07-22 06:00:00,30.606341338515918
2024-07-22 07:00:00,31.32149048280268
2024-07-22 08:00:00,32.505141022979075
2024-07-22 09:00:00,34.2491528377509
2024-07-22 10:00:00,36.288479396680934
2024-07-22 11:00:00,38.06417878892131
2024-07-22 12:00:00,39.01262925042574
2024-07-22 13:00:00,38.8750648948201
2024-07-22 14:00:00,37.806837318949285
2024-07-22 15:00:00,36.23186825658284
2024-07-22 16:00:00,34.5831654595269
2024-07-22 17:00:00,33.12729986228516
2024-07-22 18:00:00,31.95864006232412
2024-07-22 19:00:00,31.09125587263948
2024-07-22 20:00:00,30.52152261130108
2024-07-22 21:00:00,30.213820300984636
2024-07-22 22:00:00,30.071165899157656
2024-07-22 23:00:00,29.970006102219862
2024-07-23 00:00:00,29.851470840096763
